category_code,category_name,sort_order
68041501,"扩髓器",288
68041502,"骨把持器",289
68041503,"塑形工具",290
68041504,"骨折复位器",291
68041505,"配套工具",292
680416,"骨科手术器械-关节外科辅助器械",293
68041601,"骨水泥定型模具",294
68041602,"关节镜配套工具",295
68041603,"定位、导向、测量器械",296
68041604,"打拔器",297
68041605,"冲头",298
68041606,"配套工具",299
680417,"骨科手术器械-脊柱外科辅助器械",300
68041701,"椎体成形器械",301
68041702,"椎间盘旋切器械",302
68041703,"注射推进装置",303
68041704,"椎体成形导引系统",304
68041705,"纤维环缝合器械",305
68041706,"椎体后缘处理器",306
68041707,"椎弓根定位测量器",307
68041708,"定位、导向、测量器械",308
68041709,"开孔扩孔器械",309
68041710,"神经根探子",310
68041711,"植骨块嵌入器",311
68041712,"椎弓根钉尾部切断器",312
68041713,"脊柱手术通道器械",313
68041714,"椎体复位器",314
68041715,"配套工具",315
680418,"骨科手术器械-骨科其他手术器械",316
68041801,"剥离器",317
68041802,"颅骨矫形器械",318
68041803,"剥离保护器",319
68041804,"韧带手术器械",320
68041805,"骨科组织保护器具",321
68041806,"骨科手术体位固定架",322
68041807,"软骨整形器械",323
6805,"放射治疗器械",324
680501,"放射治疗器械-放射治疗设备",325
68050101,"医用电子加速器",326
68050102,"医用轻离子治疗系统",327
68050103,"医用X射线治疗设备",328
68050104,"伽玛射束远距离治疗机",329
68050105,"近距离后装治疗设备",330
68050106,"放射性粒籽植入治疗系统",331
680502,"放射治疗器械-放射治疗模拟及图像引导设备",332
68050201,"放射治疗模拟系统",333
68050202,"放射治疗用X射线图像引导系统",334
68050203,"电子射野成像系统",335
68050204,"超声影像引导系统",336
68050205,"电磁定位系统",337
68050206,"光学定位引导系统",338
680503,"放射治疗器械-放射治疗准直装置",339
68050301,"X辐射放射治疗立体定向系统",340
68050302,"准直限束装置",341
680504,"放射治疗器械-放射治疗配套器械",342
68050401,"射线束扫描测量系统",343
68050402,"呼吸门控系统",344
68050403,"放射治疗患者摆位系统",345
68050404,"施源器",346
68050405,"治疗机用X射线管",347
68050406,"放射治疗激光定位系统",348
68050407,"放射性粒籽防护植入器",349
68050408,"放射治疗患者用固定装置",350
6806,"医用成像器械",351
680601,"医用成像器械-诊断X射线机",352
68060101,"血管造影X射线机",353
68060102,"泌尿X射线机",354
68060103,"乳腺X射线机",355
68060104,"口腔X射线机",356
68060105,"透视摄影X射线机",357
68060106,"移动式C形臂X射线机",358
68060107,"摄影X射线机",359
68060108,"透视X射线机",360
68060109,"X射线骨密度仪",361
68060110,"车载X射线机",362
68060111,"携带式X射线机",363
68060112,"肢体数字化体层摄影X射线机",364
680602,"医用成像器械-X射线计算机体层摄影设备（CT）",365
68060201,"X射线计算机体层摄影设备（CT）",366
680603,"医用成像器械-X射线发生、限束装置",367
68060301,"X 射线高压发生器",368
68060302,"X射线管",369
68060303,"X射线管组件",370
68060304,"限束装置",371
680604,"医用成像器械-X射线影像接收处理装置",372
68060401,"X射线影像增强器、X射线影像增强器电视系统",373
68060402,"X射线探测器、X射线探测器及其影像系统",374
68060403,"X射线摄影用影像板成像装置（CR）",375
68060404,"X射线感光胶片",376
68060405,"医用增感屏",377
68060406,"透视荧光屏",378
68060407,"影像板",379
680605,"医用成像器械-X射线附属及",380
68060501,"透视摄影床",381
68060502,"导管床",382
68060503,"X射线摄影患者支撑装置",383
68060504,"悬吊、支撑装置",384
68060505,"造影剂注射装置",385
68060506,"防散射滤线栅",386
68060507,"X射线摄影暗盒",387
68060508,"X射线胶片显影剂、定影剂",388
68060509,"胶片观察装置",389
68060510,"X射线胶片自动洗片机",390
68060511,"患者体位固定装置",391
68060512,"穿刺定位引导装置",392
68060513,"静脉尿路造影腹压器",393
68060514,"胃肠X射线检查用品",394
680606,"医用成像器械-医用射线防护设备",395
68060601,"医用射线防护用具",396
68060602,"医用射线防护装置",397
680607,"医用成像器械-超声影像诊断设备",398
68060701,"超声脉冲回波成像设备",399
68060702,"超声回波多普勒成像设备",400
680608,"医用成像器械-超声影像诊断附属设备",401
68060801,"超声耦合剂",402
68060802,"超声耦合垫",403
68060803,"超声水囊",404
68060804,"超声探头",405
68060805,"超声探头穿刺架",406
68060806,"胃肠超声显像粉",407
680609,"医用成像器械-磁共振成像设备（MRI）",408
68060901,"永磁型磁共振成像系统",409
68060902,"常导型磁共振成像系统",410
68060903,"超导型磁共振成像系统",411
680610,"医用成像器械-磁共振辅助设备",412
68061001,"磁共振造影注射装置",413
68061002,"磁共振辅助刺激系统",414
68061003,"磁共振定位装置",415
680611,"医用成像器械-放射性核素成像",416
68061101,"伽玛照相机",417
68061102,"单光子发射计算机断层成像设备",418
68061103,"正电子发射断层成像设备",419
68061104,"放射性核素扫描装置",420
680612,"医用成像器械-放射性核素成像辅助设备",421
68061201,"自动给药系统",422
68061202,"锝气体发生器",423
680613,"医用成像器械-光学成像诊断设备",424
68061301,"红外热像仪",425
68061302,"红外线乳腺诊断仪",426
68061303,"光相干断层成像系统（非眼科）",427
68061304,"手术显微镜（非眼科）",428
68061305,"微循环显微镜",429
68061306,"医用光学放大器具",430
680614,"医用成像器械-医用内窥镜",431
68061401,"光学内窥镜",432
68061402,"电凝切割内窥镜",433
68061403,"电子内窥镜",434
68061404,"胶囊式内窥镜系统",435
680615,"医用成像器械-内窥镜功能供给",436
68061501,"内窥镜用冷光源",437
68061502,"内窥镜摄像系统",438
68061503,"电子内窥镜图像处理器",439
68061504,"内窥镜送气装置",440
68061505,"内窥镜冲洗吸引器",441
68061506,"内窥镜膨腔泵",442
680616,"医用成像器械-内窥镜辅助用品",443
68061601,"内窥镜插入形状观测系统",444
68061602,"胶囊内窥镜姿态控制器",445
68061603,"内窥镜气囊控制器",446
68061604,"内窥镜润滑剂",447
68061605,"内窥镜先端帽",448
68061606,"内窥镜用活检袋",449
68061607,"内窥镜咬口、套管",450
680617,"医用成像器械-组合功能融合成像器械",451
68061701,"单光子发射及X射线计算机断层成像系统",452
68061702,"正电子发射及X射线计算机断层成像系统",453
68061703,"正电子发射及磁共振成像系统",454
68061704,"超声电子内窥镜",455
68061705,"复合内窥镜",456
680618,"医用成像器械-图像显示、处理、传输及打印设备",457
68061801,"图像显示处理工作站",458
68061802,"胶片扫描仪",459
68061803,"医用图像打印机",460
68061804,"影像记录介质",461
68061805,"取片机",462
6807,"医用诊察和监护器械",463
680701,"医用诊察和监护器械-诊察辅助器械",464
68070101,"压舌板",465
68070102,"听诊器",466
68070103,"五官科检查镜",467
68070104,"叩诊锤",468
68070105,"表面检查灯",469
68070106,"反光器具",470
68070107,"听觉检查音叉",471
680702,"医用诊察和监护器械-呼吸功能及气体分析测定装置",472
68070201,"气体测定设备",473
68070202,"呼吸热量监测设备",474
68070203,"肺功能测试设备",475
68070204,"呼气流量测量设备",476
68070205,"呼吸压力测量设备",477
68070206,"气道过敏反应测试设备",478
68070207,"单一气体检测器",479
680703,"医用诊察和监护器械-生理参数分析测量设备",480
68070301,"心电测量、分析设备",481
68070302,"心脏电生理标测设备",482
68070303,"无创血压测量设备",483
68070304,"体温测量设备",484
68070305,"脉搏血氧测量设备",485
68070306,"生理参数诱发诊断设备",486
68070307,"血管硬度测量设备",487
68070308,"无创血流分析设备",488
68070309,"体表色素测量设备",489
68070310,"电导分析仪",490
68070311,"鼻阻力测量设备",491
68070312,"血管内皮功能测试设备",492
68070313,"脑磁图设备",493
68070314,"有创颅内压设备",494
680704,"医用诊察和监护器械-监护设备",495
68070401,"病人监护设备",496
68070402,"神经监护设备",497
68070403,"动态血糖/葡萄糖监测设备",498
680705,"医用诊察和监护器械-电声学测量、分析设备",499
68070501,"听力计",500
68070502,"电声门图仪",501
68070503,"耳声发射仪",502
68070504,"耳声阻抗测量仪",503
680706,"医用诊察和监护器械-放射性核素诊断设备",504
68070601,"放射性核素骨密度测量设备",505
68070602,"肾及甲状腺功能测量设备",506
